Comment_ID	Text
z13rgfei4xeudjesh22cenlqpnjaz5y4x04	any one taking this bullshit serious is a uniformed fool...these fuckers are the real terrorists their that dumb their fooling their own selves
z12idjvyao3hzlizy04cfh2jsuehctuq5a4	Someone has to start it, good work
z12ztjzxswqczn3hi04chpcbwlmhxplodoo0k	Be careful what you wish for Trump dickriders....I love how some of you have forgotten what the statue of liberty holds in her hands. At some point in history your family sailed right past her....REMEMBER THAT!!!
z13ccpcocqiexnjsq23ocpjgrqezx5r14	Didn&#39;t obama ban Iraqi&#39;s for 6 months.
z125zleotkenivinz22bcn0iurnnefqxp04	welcome to ww3 as predicted by albert pike it was originally published in The Mystery of Freemasonry Unveiled by The Cardinal Of Chile in 1925 and was a letter pike wrote to Mazzini, dated August 15, 1871.<br /><br />“The First World War must be brought about in order to permit the Illuminati to overthrow the power of the Czars in Russia and of making that country a fortress of atheistic Communism. The divergences caused by the &quot;agentur&quot; (agents) of the Illuminati between the British and Germanic Empires will be used to foment this war. At the end of the war, Communism will be built and used in order to destroy the other governments and in order to weaken the religions.<br /><br />The Second World War must be fomented by taking advantage of the differences between the Fascists and the political Zionists. This war must be brought about so that Nazism is destroyed and that the political Zionism be strong enough to institute a sovereign state of Israel in Palestine. During the Second World War, International Communism must become strong enough in order to balance Christendom, which would be then restrained and held in check until the time when we would need it for the final social cataclysm.&quot;<br /><br />The Third World War must be fomented by taking advantage of the differences caused by the “agentur” of the “Illuminati” between the political Zionists and the leaders of Islamic World. The war must be conducted in such a way that Islam and political Zionism mutually destroy each other. Meanwhile the other nations, once more divided on this issue will be constrained to fight to the point of complete physical, moral, spiritual and economical exhaustion…<br /><br />We shall unleash the Nihilists and the atheists, and we shall provoke a formidable social cataclysm which in all its horror will show clearly to the nations the effect of absolute atheism, origin of savagery and of the most bloody turmoil.<br /><br />Then everywhere, the citizens, obliged to defend themselves against the world minority of revolutionaries, will exterminate those destroyers of civilization, and the multitude, disillusioned with Christianity, whose deistic spirits will from that moment be without compass or direction, anxious for an ideal, but without knowing where to render its adoration, will receive the true light through the universal manifestation of the pure doctrine of Lucifer, brought finally out in the public view.<br /><br />This manifestation will result from the general reactionary movement which will follow the destruction of Christianity and atheism, both conquered and exterminated at the same time.”
z12bevvbtwmcfls1k22purlrlpycypygv04	Think about all the terrorist attacks that have occured recently. So many innocent people have died because of those attacks. Who were the terrorists? They were Muslims.  Every single attack has been done by a muslim and letting more in would definately result in more women getting raped and more chaos, (terrorist attacks).
z13dvtewjonvsjmbd04cgdnpmlutw5fy4uc0k	I greatly dislike Hillary, but I really hate Trump!
z13lerebtuqed34yh04ccdagczaih5excis	And I totally believe 9/11 was an inside job. Jet fuel does not melt steel so it pours like liquid. Fact!
z13pcbcinubai3dey22fftzyzzy3vl4e1	Since when did banning people from other countries help? Should we also ban all of the Chinese because of the way they&#39;re acting to us? Should we ban all Koreans from coming to the USA because we assume every Korean is from the north side? This will be a long 4 years...
z12lfpeg1rvzstacv22jy3symkv0vpeul	The 9/11 terrorists did not come from any Country Trump has put a ban on. And Mr. Going Coastal  how are YOU going to stamp out 1.5 billion Muslims. Keep believing the #1 liar and con-man, Sir Mien Trump.
